Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,GRANDE LATTE,CAFE CLASSICOS,21/11/2021,1,"R$13,00","R$13,00"
Restaurante Bodogami,BODOJITO,DRINKS ALCOOLICOS,11/02/2023,1,"R$24,00","R$24,00"
Restaurante Bodogami,BODOJITO,DRINKS ALCOOLICOS,14/10/2022,2,"R$24,00","R$48,00"
Restaurante Bodogami,AGUA TONICA,BEBIDAS,12/01/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,13/04/2023,2,"R$5,00","R$10,00"
Restaurante Bodogami,FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,19/07/2022,1,"R$21,00","R$21,00"
Restaurante Bodogami,FRAPPE OREO PANDA,CAFE AUTORAIS,29/10/2022,3,"R$21,00","R$63,00"
Restaurante Bodogami,SPACE CHAI,DRINKS NAO ALCOOLICOS,13/08/2022,5,"R$15,00","R$75,00"
Restaurante Bodogami,ICED TEA,BEBIDAS,01/11/2022,3,"R$8,00","R$24,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,02/03/2023,2,"R$9,00","R$18,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,12/06/2022,14,"R$7,00","R$98,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,20/04/2022,4,"R$9,00","R$36,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,09/12/2021,13,"R$7,00","R$91,00"
Restaurante Bodogami,BUTTERBEER,DRINKS NAO ALCOOLICOS,16/06/2021,2,"R$15,00","R$30,00"
Restaurante Bodogami,ESPRESSO DUPLO,CAFE CLASSICOS,01/02/2023,1,"R$9,00","R$9,00"
Restaurante Bodogami,ICED TEA,BEBIDAS,29/07/2022,3,"R$8,00","R$24,00"
Restaurante Bodogami,CARAMELO MACCHIATO,CAFE AUTORAIS,03/10/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,14/08/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,BROWNIE DA GABI,EVENTOS,30/07/2022,2,"R$12,00","R$24,00"
Restaurante Bodogami,BATIDO MACA CANELA,CAFE AUTORAIS,28/08/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,AGUA MINERAL C/ GAS AMA 350,BEBIDAS,21/10/2022,5,"R$6,00","R$30,00"
Restaurante Bodogami,GIN TONICA,DRINKS ALCOOLICOS,08/09/2022,1,"R$28,00","R$28,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,28/11/2022,7,"R$8,00","R$56,00"
Restaurante Bodogami,VANILLA COLD BREW,CAFE AUTORAIS,07/09/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,16/04/2023,7,"R$12,00","R$84,00"
Restaurante Bodogami,SPACE CHAI,DRINKS NAO ALCOOLICOS,11/09/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,MELON FRESH,DRINKS NAO ALCOOLICOS,15/09/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,ESPRESSO TONICA,CAFE AUTORAIS,24/07/2021,2,"R$12,00","R$24,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,19/01/2021,4,"R$6,00","R$24,00"
Restaurante Bodogami,BUTTERBEER,DRINKS NAO ALCOOLICOS,15/05/2022,10,"R$15,00","R$150,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,07/04/2023,2,"R$30,00","R$60,00"
