Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
GRANDE LATTE,CAFE CLASSICOS,21/11/2021,1,"13,00","13,00",BEBIDAS QUENTES,"3,11"
BODOJITO,DRINKS ALCOOLICOS,11/02/2023,1,"24,00","24,00",DRINKS ALCOOLICOS,"2,63"
BODOJITO,DRINKS ALCOOLICOS,14/10/2022,2,"24,00","48,00",DRINKS ALCOOLICOS,"2,63"
AGUA TONICA,BEBIDAS,12/01/2021,1,"7,00","7,00",BEBIDAS,"2,16"
ESPRESSO,CAFE CLASSICOS,13/04/2023,2,"5,00","10,00",CAFE,"0,81"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,19/07/2022,1,"21,00","21,00",FRAPPE,"6,45"
FRAPPE OREO PANDA,CAFE AUTORAIS,29/10/2022,3,"21,00","63,00",FRAPPE,"5,44"
SPACE CHAI,DRINKS NAO ALCOOLICOS,13/08/2022,5,"15,00","75,00",CHA,"2,78"
ICED TEA,BEBIDAS,01/11/2022,3,"8,00","24,00",CHA,"0,92"
CHA MATE COM LIMAO GELADO,BEBIDAS,02/03/2023,2,"9,00","18,00",CHA,"0,18"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,12/06/2022,14,"7,00","98,00",REFRIGERANTES,"3,19"
REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,20/04/2022,4,"9,00","36,00",DRINKS NAO ALCOOLICOS,"0,79"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,09/12/2021,13,"7,00","91,00",REFRIGERANTES,"3,19"
BUTTERBEER,DRINKS NAO ALCOOLICOS,16/06/2021,2,"15,00","30,00",DRINKS NAO ALCOOLICOS,"1,62"
ESPRESSO DUPLO,CAFE CLASSICOS,01/02/2023,1,"9,00","9,00",CAFE,"1,62"
ICED TEA,BEBIDAS,29/07/2022,3,"8,00","24,00",CHA,"0,92"
CARAMELO MACCHIATO,CAFE AUTORAIS,03/10/2021,1,"9,00","9,00",BEBIDAS QUENTES,"2,06"
CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,14/08/2021,1,"9,00","9,00",BEBIDAS QUENTES,"1,76"
BATIDO MACA CANELA,CAFE AUTORAIS,28/08/2021,1,"9,00","9,00",FRAPPE,"6,61"
AGUA COM GAS,BEBIDAS,21/10/2022,5,"6,00","30,00",BEBIDAS,"0,97"
GIN TONICA,DRINKS ALCOOLICOS,08/09/2022,1,"28,00","28,00",DRINKS ALCOOLICOS,"7,59"
COCA COLA 350ML,BEBIDAS REFRIGERANTES,28/11/2022,7,"8,00","56,00",REFRIGERANTES,"3,19"
VANILLA COLD BREW,CAFE AUTORAIS,07/09/2022,1,"12,00","12,00",CAFE FRIO,"2,77"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,16/04/2023,7,"12,00","84,00",DRINKS NAO ALCOOLICOS,"1,02"
SPACE CHAI,DRINKS NAO ALCOOLICOS,11/09/2022,1,"15,00","15,00",CHA,"2,78"
MELON FRESH,DRINKS NAO ALCOOLICOS,15/09/2021,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"1,62"
ESPRESSO TONICA,CAFE AUTORAIS,24/07/2021,2,"12,00","24,00",CAFE FRIO,"4,41"
AGUA MINERAL,BEBIDAS,19/01/2021,4,"6,00","24,00",BEBIDAS,"0,85"
BUTTERBEER,DRINKS NAO ALCOOLICOS,15/05/2022,10,"15,00","150,00",DRINKS NAO ALCOOLICOS,"1,62"
APPLE MARTINI,DRINKS ALCOOLICOS,07/04/2023,2,"30,00","60,00",DRINKS ALCOOLICOS,"2,91"
CARAMELO MACCHIATO,CAFE AUTORAIS,19/11/2022,3,"9,00","27,00",BEBIDAS QUENTES,"2,06"
FRAPPE CARAMELO,CAFE CLASSICOS,20/03/2022,1,"15,00","15,00",FRAPPE,"2,96"
FRAPPE MATCHA,CAFE CLASSICOS,17/09/2022,1,"17,00","17,00",FRAPPE,"2,78"
COCA COLA LATA DIET 350ML,BEBIDAS,26/02/2022,5,"7,00","35,00",REFRIGERANTES,"3,19"
CAPPUCCINO GELADO,CAFE CLASSICOS,05/03/2021,3,"13,00","39,00",CAFE FRIO,"2,49"
ESSENCIA DE AVELA,BEBIDAS,24/07/2022,1,"1,00","1,00",EXTRA,"0,41"
BEIJO DE LINGUA,DRINKS ALCOOLICOS,29/03/2023,1,"23,00","23,00",DRINKS ALCOOLICOS,"6,61"
CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,11/06/2022,4,"12,00","48,00",CERVEJAS,"5,36"
APPLE MARTINI,DRINKS ALCOOLICOS,02/09/2021,2,"20,00","40,00",DRINKS ALCOOLICOS,"2,91"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,01/03/2022,16,"9,00","144,00",DRINKS NAO ALCOOLICOS,"1,62"
ESPRESSO EXTRA,CAFE CLASSICOS,02/12/2022,1,"0,0","0,0",EXTRA,"0,81"
LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,21/07/2022,4,"15,00","60,00",DRINKS NAO ALCOOLICOS,"3,34"
FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,28/02/2022,3,"21,00","63,00",FRAPPE,"6,45"
AGUA COM GAS,BEBIDAS,03/12/2021,4,"6,00","24,00",BEBIDAS,"0,97"
GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,04/10/2022,3,"7,00","21,00",REFRIGERANTES,"2,99"
FADA INSENSATA,DRINKS ALCOOLICOS,25/02/2022,1,"28,00","28,00",DRINKS ALCOOLICOS,"7,07"
FADA INSENSATA,DRINKS ALCOOLICOS,06/05/2022,3,"32,00","96,00",DRINKS ALCOOLICOS,"7,07"
JAIPUR,CAFE AUTORAIS,25/09/2021,2,"12,00","24,00",CHA,"0,77"
LATTE MEDIO,CAFE CLASSICOS,19/02/2023,2,"9,00","18,00",BEBIDAS QUENTES,"1,92"
ESPRESSO,CAFE CLASSICOS,26/02/2022,6,"5,00","30,00",CAFE,"0,81"
GREENY SMITH,CAFE AUTORAIS,21/12/2021,3,"12,00","36,00",DRINKS NAO ALCOOLICOS,"2,25"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,02/03/2023,5,"12,00","60,00",DRINKS NAO ALCOOLICOS,"1,62"
CHA MATE COM PESSEGO GELADO,BEBIDAS,10/05/2022,1,"8,00","8,00",CHA,"1,88"
VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,01/08/2021,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"0,53"
ORANGE COFFEE,CAFE AUTORAIS,05/08/2022,2,"14,00","28,00",CAFE FRIO,"3,32"
FRAPPE OREO PANDA,CAFE AUTORAIS,29/09/2021,1,"17,00","17,00",FRAPPE,"5,44"
FRAPPE CARAMELO,CAFE CLASSICOS,25/02/2021,2,"15,00","30,00",FRAPPE,"2,96"
ESPRESSO,CAFE CLASSICOS,21/07/2022,1,"5,00","5,00",CAFE,"0,81"
BODOJITO,DRINKS ALCOOLICOS,17/06/2022,2,"20,00","40,00",DRINKS ALCOOLICOS,"2,63"
CERVEJA BROOKLYN EAST IPA,BEBIDAS CERVEJAS,03/12/2021,4,"18,00","72,00",CERVEJAS,"8,68"
COCA COLA LATA DIET 350ML,BEBIDAS,29/09/2022,5,"7,00","35,00",REFRIGERANTES,"3,19"
CHA MATE COM PESSEGO GELADO,BEBIDAS,21/05/2022,7,"8,00","56,00",CHA,"1,88"
CALDA DE CHOCOLATE,BEBIDAS,15/01/2023,1,"2,00","2,00",EXTRA,"0,86"
FRAPPE OREO PANDA,CAFE AUTORAIS,20/04/2022,2,"17,00","34,00",FRAPPE,"5,44"
CHA MATE COM PESSEGO GELADO,BEBIDAS,20/04/2023,2,"9,00","18,00",CHA,"1,88"
CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,05/04/2022,3,"12,00","36,00",CERVEJAS,"5,36"
SUCO DE LARANJA,BEBIDAS,29/03/2022,3,"9,00","27,00",BEBIDAS,"2,61"
LATTE MEDIO,CAFE CLASSICOS,07/08/2021,1,"9,00","9,00",BEBIDAS QUENTES,"1,92"
VALHALLA MEAD,DRINKS ALCOOLICOS,03/06/2021,1,"30,00","30,00",DRINKS ALCOOLICOS,"10,02"
SUCO DE LIMAO,BEBIDAS,21/07/2022,1,"9,00","9,00",BEBIDAS,"0,15"
ESPRESSO,CAFE CLASSICOS,19/06/2022,5,"5,00","25,00",CAFE,"0,81"
FRAPPE MORANGO,CAFE CLASSICOS,01/05/2023,4,"18,00","72,00",FRAPPE,"4,41"
CAPPUCCINO GELADO,CAFE CLASSICOS,29/05/2022,1,"10,00","10,00",CAFE FRIO,"2,49"
BUTTERBEER,DRINKS NAO ALCOOLICOS,02/08/2022,3,"15,00","45,00",DRINKS NAO ALCOOLICOS,"1,62"
VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,17/03/2022,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"0,53"
