Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
FRANGO TERIYAKI BENTO,ALMOCO,17/07/2021,4,"28,00","112,00",BENTO,"6,8"
CHICKENKATSU BENTO,ALMOCO,22/02/2023,1,"32,00","32,00",BENTO,"5,24"
CHEESECAKE DE MANGA,SOBREMESA,27/02/2021,1,"16,00","16,00",SOBREMESA,"3,29"
CREPE JOHN LEMON,SOBREMESA,07/09/2022,4,"17,00","68,00",SOBREMESA,"4,87"
TOAST COGUMELOS,ALL DAY,20/08/2022,2,"19,00","38,00",LANCHES,"2,71"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,04/02/2022,4,"26,00","104,00",PARA COMPARTILHAR,"5,58"
COMBO MINIBURG FRITAS CHA,ALL DAY,08/05/2022,1,"30,00","30,00",ESPECIAL/COMBO,"10,68"
BURGUER BENTO,ALMOCO,04/09/2022,1,"30,00","30,00",BENTO,"8,84"
DANGO,SOBREMESA,09/01/2023,3,"9,00","27,00",SOBREMESA,"1,56"
PEPINO EXTRA,ADICIONAIS,15/12/2021,3,"1,00","3,00",ADICIONAIS,"0,3"
PAO COM MANTEIGA,ALL DAY,14/05/2022,3,"6,00","18,00",LANCHES,"0,86"
CHICKENKATSU SANDO,ALL DAY,04/12/2022,6,"32,00","192,00",LANCHES,"5,29"
VEGGIE SANDO,ALL DAY,20/11/2022,1,"30,00","30,00",LANCHES,"6,21"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,18/05/2022,3,"32,00","96,00",PARA COMPARTILHAR,"7,31"
QUEIJO EXTRA,ALL DAY,05/03/2023,1,"2,00","2,00",ADICIONAIS,"1,17"
COMBO SANDO FRITAS CHA,ALL DAY,15/03/2023,3,"35,00","105,00",ESPECIAL/COMBO,"10,97"
VEGGIE SANDO,ALL DAY,12/01/2023,1,"30,00","30,00",LANCHES,"6,21"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,16/04/2021,1,"15,00","15,00",PARA COMPARTILHAR,"3,31"
VEG BURGUER KARE,ALMOCO,12/02/2023,1,"32,00","32,00",KARE,"4,48"
CHICKENKATSU SANDO,ALL DAY,27/04/2021,2,"24,00","48,00",LANCHES,"5,29"
COUVE FLOR EMPANADA,PARA COMPARTILHAR,24/01/2023,1,"32,00","32,00",PARA COMPARTILHAR,"5,65"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,12/07/2022,4,"20,00","80,00",PARA COMPARTILHAR,"4,11"
TONKATSU KARE,ALMOCO,20/02/2023,5,"34,00","170,00",KARE,"4,44"
MAIONESE EXTRA,ALMOCO,14/02/2021,1,"5,00","5,00",ADICIONAIS,"0,48"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,19/11/2021,2,"28,00","56,00",PARA COMPARTILHAR,"7,49"
CREPE RED7,SOBREMESA,04/03/2023,4,"26,00","104,00",SOBREMESA,"7,94"
MISTO QUENTE,ALL DAY,10/11/2021,2,"13,00","26,00",LANCHES,"6,29"
CHICKEN KATSU DONBURI,ALMOCO,14/04/2023,5,"34,00","170,00",DONBURI,"5,24"
TOAST TERIYAKI,ALL DAY,17/12/2021,1,"19,00","19,00",LANCHES,"3,44"
DANGO,SOBREMESA,05/10/2022,1,"9,00","9,00",SOBREMESA,"1,56"
COMBO SANDO FRITAS CHA,ALL DAY,09/10/2021,2,"28,00","56,00",ESPECIAL/COMBO,"10,97"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,02/07/2021,1,"26,00","26,00",PARA COMPARTILHAR,"5,58"
KOROKKE KABOCHA,PARA COMPARTILHAR,25/11/2022,5,"33,00","165,00",PARA COMPARTILHAR,"2,99"
CHICKENKATSU SANDO,ALL DAY,05/10/2022,6,"32,00","192,00",LANCHES,"5,29"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,02/09/2022,2,"34,00","68,00",PARA COMPARTILHAR,"6,51"
VEG BURGUER DONBURI,ALMOCO,25/01/2022,3,"32,00","96,00",DONBURI,"5,03"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,04/03/2022,3,"20,00","60,00",PARA COMPARTILHAR,"3,31"
SHOYU LAMEN,ALMOCO,03/02/2023,3,"44,00","132,00",LAMEN,"6,18"
SHOYU LAMEN,ALMOCO,16/11/2022,5,"44,00","220,00",LAMEN,"6,18"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,25/05/2022,1,"33,00","33,00",PARA COMPARTILHAR,"5,47"
PAO COM REQUEIJAO,ALL DAY,12/05/2023,1,"14,00","14,00",LANCHES,"4,01"
BURGUER DONBURI,ALMOCO,19/10/2021,1,"30,00","30,00",DONBURI,"8,84"
TOAST COGUMELOS,ALL DAY,09/11/2021,1,"19,00","19,00",LANCHES,"2,71"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,23/03/2023,1,"12,00","12,00",SOBREMESA,"2,17"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,02/10/2022,2,"34,00","68,00",PARA COMPARTILHAR,"6,51"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,18/05/2021,1,"28,00","28,00",PARA COMPARTILHAR,"5,47"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,03/12/2022,6,"12,00","72,00",SOBREMESA,"2,17"
COMBO VEGMINIBURG FRITAS CHA,ALL DAY,22/12/2022,1,"32,00","32,00",ESPECIAL/COMBO,"9,68"
TONKATSU BENTO,ALMOCO,31/03/2022,1,"30,00","30,00",BENTO,"5,53"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,16/11/2022,1,"34,00","34,00",PARA COMPARTILHAR,"6,51"
VEG BURGUER KARE,ALMOCO,18/09/2022,1,"32,00","32,00",KARE,"4,48"
DUO ONIGUIRI COM FURIKAKE,PARA COMPARTILHAR,30/10/2022,3,"14,00","42,00",PARA COMPARTILHAR,"3,46"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,09/04/2022,21,"30,00","630,00",PARA COMPARTILHAR,"7,31"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,17/03/2023,9,"12,22","110,00",SOBREMESA,"2,17"
CHICKEN KATSU DONBURI,ALMOCO,07/10/2021,1,"30,00","30,00",DONBURI,"5,24"
FRANGO TERIYAKI BENTO,ALMOCO,15/12/2022,2,"32,00","64,00",BENTO,"6,8"
VEG BURGUER DONBURI,ALMOCO,03/03/2021,2,"28,00","56,00",DONBURI,"5,03"
MITARASHI DANGO,SOBREMESA,12/05/2021,2,"9,00","18,00",SOBREMESA,"2,0"
GOHAN EXTRA,ALMOCO,14/01/2022,2,"5,00","10,00",ADICIONAIS,"0,8"
